W	X	Y	Z	D	stderr	Zscore	BABA	ABBA	nsnps	timescale	parameters	stat	ds	select	rep
Afr	admix	Vindija	outgroup	-0.1023	0.013548	-7.551	1456	1787	99605	medium	pseudohaploid	dstat	100000	all	10
Afr	AMH1	Vindija	outgroup	-0.0027	0.013701	-0.2	1491	1499	99605	medium	pseudohaploid	dstat	100000	all	10
Afr	admix	Vindija	outgroup	-0.1087	0.014004	-7.765	1463	1820	99539	medium	pseudohaploid	dstat	100000	all	11
Afr	AMH1	Vindija	outgroup	0.0079	0.014032	0.565	1526	1502	99539	medium	pseudohaploid	dstat	100000	all	11
Afr	admix	Vindija	outgroup	-0.136	0.013926	-9.763	1377	1811	99576	medium	pseudohaploid	dstat	100000	all	12
Afr	AMH1	Vindija	outgroup	-0.0117	0.013674	-0.854	1471	1506	99576	medium	pseudohaploid	dstat	100000	all	12
Afr	admix	Vindija	outgroup	-0.1143	0.014739	-7.757	1390	1749	99569	medium	pseudohaploid	dstat	100000	all	13
Afr	AMH1	Vindija	outgroup	0.0158	0.013215	1.195	1481	1435	99569	medium	pseudohaploid	dstat	100000	all	13
Afr	admix	Vindija	outgroup	-0.1166	0.014355	-8.123	1389	1756	99575	medium	pseudohaploid	dstat	100000	all	14
Afr	AMH1	Vindija	outgroup	0.0285	0.013955	2.042	1521	1437	99575	medium	pseudohaploid	dstat	100000	all	14
Afr	admix	Vindija	outgroup	-0.1182	0.014308	-8.264	1451	1840	99547	medium	pseudohaploid	dstat	100000	all	15
Afr	AMH1	Vindija	outgroup	-0.0156	0.01392	-1.123	1483	1530	99547	medium	pseudohaploid	dstat	100000	all	15
Afr	admix	Vindija	outgroup	-0.115	0.013655	-8.422	1428	1799	99558	medium	pseudohaploid	dstat	100000	all	16
Afr	AMH1	Vindija	outgroup	-0.0092	0.013781	-0.668	1478	1505	99558	medium	pseudohaploid	dstat	100000	all	16
Afr	admix	Vindija	outgroup	-0.1155	0.014367	-8.042	1425	1798	99570	medium	pseudohaploid	dstat	100000	all	17
Afr	AMH1	Vindija	outgroup	-0.0184	0.013896	-1.321	1477	1532	99570	medium	pseudohaploid	dstat	100000	all	17
Afr	admix	Vindija	outgroup	-0.1123	0.01469	-7.646	1444	1810	99604	medium	pseudohaploid	dstat	100000	all	18
Afr	AMH1	Vindija	outgroup	0.0312	0.013779	2.265	1546	1453	99604	medium	pseudohaploid	dstat	100000	all	18
Afr	admix	Vindija	outgroup	-0.1185	0.013618	-8.703	1436	1822	99547	medium	pseudohaploid	dstat	100000	all	19
Afr	AMH1	Vindija	outgroup	0.0116	0.013279	0.876	1503	1468	99547	medium	pseudohaploid	dstat	100000	all	19
Afr	admix	Vindija	outgroup	-0.1215	0.014373	-8.451	1404	1792	99544	medium	pseudohaploid	dstat	100000	all	20
Afr	AMH1	Vindija	outgroup	-0.0051	0.013458	-0.376	1475	1490	99544	medium	pseudohaploid	dstat	100000	all	20
Afr	admix	Vindija	outgroup	-0.1102	0.014168	-7.776	1434	1790	99549	medium	pseudohaploid	dstat	100000	all	21
Afr	AMH1	Vindija	outgroup	-0.001	0.013067	-0.08	1504	1507	99549	medium	pseudohaploid	dstat	100000	all	21
Afr	admix	Vindija	outgroup	-0.1005	0.013999	-7.181	1426	1745	99581	medium	pseudohaploid	dstat	100000	all	22
Afr	AMH1	Vindija	outgroup	-0.0114	0.013961	-0.813	1466	1500	99581	medium	pseudohaploid	dstat	100000	all	22
Afr	admix	Vindija	outgroup	-0.1258	0.014669	-8.577	1430	1842	99501	medium	pseudohaploid	dstat	100000	all	23
Afr	AMH1	Vindija	outgroup	-0.0096	0.014225	-0.674	1501	1530	99501	medium	pseudohaploid	dstat	100000	all	23
Afr	admix	Vindija	outgroup	-0.1182	0.014347	-8.241	1406	1783	99556	medium	pseudohaploid	dstat	100000	all	24
Afr	AMH1	Vindija	outgroup	-0.0037	0.014027	-0.263	1478	1489	99556	medium	pseudohaploid	dstat	100000	all	24
Afr	admix	Vindija	outgroup	-0.1012	0.01465	-6.909	1446	1772	99546	medium	pseudohaploid	dstat	100000	all	25
Afr	AMH1	Vindija	outgroup	0.0168	0.014301	1.176	1523	1472	99546	medium	pseudohaploid	dstat	100000	all	25
Afr	admix	Vindija	outgroup	-0.101	0.013813	-7.316	1455	1782	99534	medium	pseudohaploid	dstat	100000	all	26
Afr	AMH1	Vindija	outgroup	-0.0108	0.013641	-0.79	1517	1550	99534	medium	pseudohaploid	dstat	100000	all	26
Afr	admix	Vindija	outgroup	-0.1222	0.015011	-8.138	1410	1803	99537	medium	pseudohaploid	dstat	100000	all	27
Afr	AMH1	Vindija	outgroup	-0.0201	0.013276	-1.513	1460	1520	99537	medium	pseudohaploid	dstat	100000	all	27
Afr	admix	Vindija	outgroup	-0.1168	0.014938	-7.817	1416	1791	99568	medium	pseudohaploid	dstat	100000	all	28
Afr	AMH1	Vindija	outgroup	0.0039	0.013581	0.287	1492	1481	99568	medium	pseudohaploid	dstat	100000	all	28
Afr	admix	Vindija	outgroup	-0.115	0.014279	-8.052	1425	1795	99553	medium	pseudohaploid	dstat	100000	all	29
Afr	AMH1	Vindija	outgroup	-0.0094	0.013428	-0.696	1489	1517	99553	medium	pseudohaploid	dstat	100000	all	29
Afr	admix	Vindija	outgroup	-0.1083	0.014739	-7.348	1433	1781	99563	medium	pseudohaploid	dstat	100000	all	30
Afr	AMH1	Vindija	outgroup	-0.0076	0.013855	-0.546	1478	1500	99563	medium	pseudohaploid	dstat	100000	all	30
Afr	admix	Vindija	outgroup	-0.1333	0.01381	-9.649	1401	1832	99567	medium	pseudohaploid	dstat	100000	all	31
Afr	AMH1	Vindija	outgroup	-0.0326	0.013097	-2.489	1437	1533	99567	medium	pseudohaploid	dstat	100000	all	31
Afr	admix	Vindija	outgroup	-0.123	0.013737	-8.953	1397	1789	99577	medium	pseudohaploid	dstat	100000	all	32
Afr	AMH1	Vindija	outgroup	0.0109	0.012885	0.849	1491	1458	99577	medium	pseudohaploid	dstat	100000	all	32
Afr	admix	Vindija	outgroup	-0.1117	0.013653	-8.181	1435	1796	99578	medium	pseudohaploid	dstat	100000	all	33
Afr	AMH1	Vindija	outgroup	-0.0074	0.013246	-0.561	1497	1520	99578	medium	pseudohaploid	dstat	100000	all	33
Afr	admix	Vindija	outgroup	-0.1202	0.013795	-8.714	1419	1807	99574	medium	pseudohaploid	dstat	100000	all	34
Afr	AMH1	Vindija	outgroup	-0.0017	0.013275	-0.129	1495	1500	99574	medium	pseudohaploid	dstat	100000	all	34
Afr	admix	Vindija	outgroup	-0.1252	0.013766	-9.098	1388	1786	99551	medium	pseudohaploid	dstat	100000	all	35
Afr	AMH1	Vindija	outgroup	0.0248	0.013917	1.784	1508	1434	99551	medium	pseudohaploid	dstat	100000	all	35
Afr	admix	Vindija	outgroup	-0.1106	0.013867	-7.976	1444	1803	99551	medium	pseudohaploid	dstat	100000	all	36
Afr	AMH1	Vindija	outgroup	-0.0105	0.012964	-0.813	1484	1515	99551	medium	pseudohaploid	dstat	100000	all	36
Afr	admix	Vindija	outgroup	-0.1052	0.01441	-7.303	1437	1775	99522	medium	pseudohaploid	dstat	100000	all	37
Afr	AMH1	Vindija	outgroup	-0.0054	0.013422	-0.4	1474	1490	99522	medium	pseudohaploid	dstat	100000	all	37
Afr	admix	Vindija	outgroup	-0.1091	0.014081	-7.75	1412	1757	99548	medium	pseudohaploid	dstat	100000	all	38
Afr	AMH1	Vindija	outgroup	0.0367	0.013191	2.782	1536	1427	99548	medium	pseudohaploid	dstat	100000	all	38
Afr	admix	Vindija	outgroup	-0.0982	0.01431	-6.86	1435	1747	99612	medium	pseudohaploid	dstat	100000	all	39
Afr	AMH1	Vindija	outgroup	0.0196	0.013842	1.417	1498	1441	99612	medium	pseudohaploid	dstat	100000	all	39
Afr	admix	Vindija	outgroup	-0.1179	0.01416	-8.323	1401	1775	99548	medium	pseudohaploid	dstat	100000	all	40
Afr	AMH1	Vindija	outgroup	0.0101	0.013424	0.756	1481	1451	99548	medium	pseudohaploid	dstat	100000	all	40
Afr	admix	Vindija	outgroup	-0.1298	0.013045	-9.953	1410	1830	99542	medium	pseudohaploid	dstat	100000	all	41
Afr	AMH1	Vindija	outgroup	-0.0239	0.012987	-1.837	1454	1525	99542	medium	pseudohaploid	dstat	100000	all	41
Afr	admix	Vindija	outgroup	-0.1091	0.014394	-7.577	1477	1839	99554	medium	pseudohaploid	dstat	100000	all	42
Afr	AMH1	Vindija	outgroup	0.0307	0.013257	2.314	1603	1508	99554	medium	pseudohaploid	dstat	100000	all	42
Afr	admix	Vindija	outgroup	-0.1102	0.014312	-7.699	1458	1819	99613	medium	pseudohaploid	dstat	100000	all	43
Afr	AMH1	Vindija	outgroup	0.0067	0.014088	0.476	1508	1488	99613	medium	pseudohaploid	dstat	100000	all	43
Afr	admix	Vindija	outgroup	-0.141	0.014835	-9.502	1366	1815	99599	medium	pseudohaploid	dstat	100000	all	44
